threshold,precision,recall,f1,f2,n_alerts
0.05,0.3635382955771305,0.8618925831202046,0.511380880121396,0.6764351636791124,927
0.06525423728813559,0.3635382955771305,0.8618925831202046,0.511380880121396,0.6764351636791124,927
0.0805084745762712,0.8693333333333333,0.8337595907928389,0.8511749347258486,0.8406395029494875,375
0.09576271186440678,0.8716577540106952,0.8337595907928389,0.8522875816993464,0.841073269467076,374
0.11101694915254237,0.8716577540106952,0.8337595907928389,0.8522875816993464,0.841073269467076,374
0.12627118644067797,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.14152542372881355,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.15677966101694915,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.17203389830508475,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.18728813559322033,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.2025423728813559,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.21779661016949153,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.2330508474576271,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.24830508474576268,0.8953168044077136,0.8312020460358056,0.8620689655172413,0.8432797074817098,363
0.2635593220338983,0.8953168044077136,0.8312020460358056,0.8620689655172413,0.8432797074817098,363
0.2788135593220339,0.8953168044077136,0.8312020460358056,0.8620689655172413,0.8432797074817098,363
0.29406779661016946,0.8977900552486188,0.8312020460358056,0.8632138114209827,0.8437175474171825,362
0.30932203389830504,0.8977900552486188,0.8312020460358056,0.8632138114209827,0.8437175474171825,362
0.32457627118644067,0.8977900552486188,0.8312020460358056,0.8632138114209827,0.8437175474171825,362
0.33983050847457624,0.9150141643059491,0.8260869565217391,0.8682795698924731,0.842462178612429,353
0.3550847457627118,0.9150141643059491,0.8260869565217391,0.8682795698924731,0.842462178612429,353
0.37033898305084745,0.9176136363636364,0.8260869565217391,0.8694481830417228,0.8429018770398491,352
